DEÜ der
DI/SEÜ dieser
D~I/SEÜ dieser
EI/NES eines
BDJNK/~U Uhr
~U Uhr
NEU/E neue
FI/LE viele
FW~I/LE viele
WIL will
DA/MI+D damit
DA/MID damit
UNS uns
EÜS/DJEN ersten
EÜS/DJN ersten
SEI/NEÜ seiner
DREI drei
DI/SEM diesem
D~I/SEM diesem
WEI/DJEÜ weiter
~I ihr
GU+D gut
GUD gut
SAÜKD sagt
BDJNK/BDO/LI/SHMEI Polizei
BDO/LI/SHMEI Polizei
BDJNK/DEUʃD/LAND Deutschland
DEUʃD/LAND Deutschland
RUND rund
FIL viel
FW~IL viel
NEU/EN neuen
NEUn neuen
WE/GEN wegen
WEÜKn wegen
DA da
SOL/LEN sollen
SOLn sollen
SHWI/SJEN zwischen
SHWIʃn zwischen
E+D/WA etwa
ED/WA etwa
AN/DE/REN anderen
AN/DREN anderen
AN/Dn anderen
BDJNK/JAÜ/RE Jahre
JAÜ/RE Jahre
SEI/EN seien
SEIn seien
SELPSD selbst
INS ins
SO/WI sowie
SO/W~I sowie
BDJNK/MIL/LI/ON/EN Millionen
BDJNK/MIL/LI/ONn Millionen
MIL/LI/ON/EN Millionen
MIL/LI/ONn Millionen
~O/NE ohne
~ON ohne
H~I hier
DA/BEI dabei
DAP dabei
SEI/NEN seinen
SEINn seinen
~I/EN ihren
~In ihren
E+D/WAS etwas
ED/WAS etwas
WEIL weil
MA/SHJEN machen
MA/SJEN machen
MAKʃn machen
GA+NS ganz
DOKʃ doch
AL/LEM allem
SDEÜ+D steht
SDEÜD steht
BDJNK/SDAD Stadt
BDJNK/SDAD/DJ Stadt
SDAD/DJ Stadt
AN/DE/RE andere
AN/DRE andere
SEI/NEM seinem
WEÜ/DE werde
~I/EÜ ihrer
GDÄON/DJE könnte
GDOMD kommt
SON/DEÜN sondern
HA+D/DJEN hatten
HAD/DJEN hatten
HAD/DJN hatten
FEÜ/GAN/GE/NEN vergangenen
FEÜ/GAN/GNEN vergangenen
FEÜ/GAN/GNn vergangenen
FWEÜ/GAN/GE/NEN vergangenen
GAP gab
EÜSD erst
WOL/LEN wollen
WOLn wollen
GDOM/MEN kommen
GDOMn kommen
DA/SHMU dazu
BEI/DEN beiden
BEI/DN beiden
~IN ihn
WEI/DJE/RE weitere
WEI/DJRE weitere
DA/F~Ü dafür
HEU/DJE heute
OP ob
BDJNK/MA+N Mann
MA+N Mann
LAS/SEN lassen
LASn lassen
AL/LES alles
GDEIN kein
JE/DOKʃ jedoch
LAU+D laut
LAUD laut
D~OD dort
AL/LEÜ/DI+NS allerdings
BDJNK/WO/SHJE Woche
BDJNK/WO/SJE Woche
WO/SHJE Woche
WO/SJE Woche
FW~I vier
F~I vier
BDJNK/WO/SHJEN Wochen
BDJNK/WO/SJEN Wochen
BDJNK/WOKʃn Wochen
WO/SHJEN Wochen
WO/SJEN Wochen
WOKʃn Wochen
DEÜ/SHMEI+D derzeit
DEÜ/SHMEID derzeit
EIN/MAL einmal
MIKʃ mich
SOL/DJE sollte
GE/BEN geben
GPn geben
BDJNK/MON/DJAÜK Montag
MON/DJAÜK Montag
~IM ihm
AL/SO also
BDJNK/LAND Land
LAND Land
WÄ/RE wäre
GDAM kam
SDE/HEN stehen
SDE/HN stehen
DA/FON davon
DA/FWON davon
GDON/DJE konnte
W~Ü/DE würde
BDJNK/FREI/DJAÜK Freitag
FREI/DJAÜK Freitag
BDJNK/GDIN/DEÜ Kinder
GDIN/DEÜ Kinder
MÄOK/LIKʃ möglich
BDEÜ/SO/NEN Personen
BDEÜ/SONn Personen
BDJNK/BDEÜ/SO/NEN Personen
BDJNK/BDEÜ/SONn Personen
GE/HEN gehen
GHEN gehen
GHN gehen
EÜS/DJE erste
BDJNK/BEÜ/LIN Berlin
BEÜ/LIN Berlin
BDJNK/MI+D/WOKʃ Mittwoch
BDJNK/MID/WOKʃ Mittwoch
MI+D/WOKʃ Mittwoch
MID/WOKʃ Mittwoch
SE/HEN sehen
Ss/HN sehen
DI/SES dieses
D~I/SES dieses
BDJNK/DJAÜK Tag
DJAÜK Tag
DI/SEN diesen
D~I/SEN diesen
LE+S/DJEN letzten
LE+S/DJN letzten
DEU+D/LIKʃ deutlich
DEUD/LIKʃ deutlich
MAL mal
BDJNK/FRAU Frau
FRAU Frau
WO wo
JA ja
GE/WE/SEN gewesen
GWE/SEN gewesen
GWESn gewesen
SO/GAÜ sogar
BDJNK/DINS/DJAÜK Dienstag
BDJNK/D~INS/DJAÜK Dienstag
DINS/DJAÜK Dienstag
D~INS/DJAÜK Dienstag
MAKʃD macht
W~Ü/DEN würden
W~Ü/DN würden
NIKʃs nichts
M~I mir
BDJNK/DJRUMP Trump
DJRUMP Trump
HÄ+D/DJEN hätten
HÄD/DJEN hätten
HÄD/DJN hätten
FÜNF fünf
SHMU/RÜK zurück
~I/REM ihrem
S~I+D sieht
S~ID sieht
BDJNK/DON/NEÜS/DJAÜK Donnerstag
DON/NEÜS/DJAÜK Donnerstag
WE/NI/GEÜ weniger
DNN denn
BLEI/BEN bleiben
BLEIPn bleiben
SHWAÜ zwar
EIN/FAKʃ einfach
DA/RAUF darauf
BDJNK/US/A USA
US/A USA
GILD gilt
WÄÜ/REND während
GE/RA/DE gerade
GRA/DE gerade
BDJNK/MÄÜ+S März
MÄÜ+S März
W~OL wohl
BDJNK/SON/DJAÜK Sonntag
SON/DJAÜK Sonntag
BDJNK/WELD Welt
GR~O/SE große
LAN/GE lange
BDJNK/GDMO/RO/NA Corona
GDMO/RO/NA Corona
BDJNK/SAMS/DJAÜK Samstag
SAMS/DJAÜK Samstag
DE/NEN denen
DNEN denen
DNn denen
AN/DE/REM anderem
AN/DREM anderem
BDJNK/BDLA+S Platz
BDLA+S Platz
GR~O+Sn großen
GR~OSn großen
SHMEIKD zeigt
GE/MAKʃD gemacht
GMAKʃD gemacht
BIS/HEÜ bisher
FILn vielen
FW~I/LEN vielen
BLEI+PD bleibt
NÜM/F+K FC
NÜM/FK FC
EI/GE/NEN eigenen
EI/GNEN eigenen
EI/GNn eigenen
HÄ+D/DJE hätte
HÄD/DJE hätte
BDJNK/RE/GI/RU+N Regierung
BDJNK/RE/G~I/RU+N Regierung
RE/GI/RU+N Regierung
RE/G~I/RU+N Regierung
GAÜ gar
BDJNK/MAI Mai
MAI Mai
SHMEÜN zehn
E/BEN/FALS ebenfalls
EPn/FALS ebenfalls
BE/GDAND bekannt
HEISD heißt
GDÄON/DJN könnten
MUS/DJE musste
MUSs/DJE musste
BDJNK/SAI/SON Saison
SAI/SON Saison
EI/NI/GE einige
BDJNK/GELD Geld
D~Ü/FEN dürfen
D~ÜFn dürfen
BE/SON/DEÜS besonders
AL/LEN allen
ALn allen
SJNEL schnell
SJNEL/L schnell
SNEL schnell
GDEI/NEN keinen
GDEINn keinen
BFÄ/DJEÜ später
NÄKS/DJEN nächsten
NÄKS/DJN nächsten
NÄKs/DJEN nächsten
BIN bin
FIN/DEN finden
FIN/DN finden
SDA+D statt
SDAD statt
WE/NIK wenig
AN/FA+N Anfang
BDJNK/AN/FA+N Anfang
BDJNK/MI+D/AÜ/BEI/DJEÜ Mitarbeiter
BDJNK/MID/AÜ/BEI/DJEÜ Mitarbeiter
MI+D/AÜ/BEI/DJEÜ Mitarbeiter
MID/AÜ/BEI/DJEÜ Mitarbeiter
BDJNK/SI/DJU/A/DJI/ON Situation
BDJNK/SI/DJU/A/DJON Situation
SI/DJU/A/DJI/ON Situation
SI/DJU/A/DJON Situation
DIS dies
D~IS dies
SHWEI/DJEN zweiten
SHWEI/DJN zweiten
GDÄON/NE könne
BDAN/DE/MI Pandemie
BDAN/DE/M~I Pandemie
BDAN/DMI Pandemie
BDJNK/BDAN/DE/MI Pandemie
BDJNK/BDAN/DE/M~I Pandemie
BDJNK/BDAN/DMI Pandemie
SOL/DJEN sollten
SOL/DJN sollten
EÜ/GDLÄÜ+D erklärt
EÜ/GDLÄÜD erklärt
BDJNK/JU/NI Juni
JU/NI Juni
DEU+D/SJEN deutschen
DEUD/SJEN deutschen
DEUD/ʃn deutschen
BDJNK/BEI/BFIL Beispiel
BDJNK/BEI/BF~IL Beispiel
BEI/BFIL Beispiel
BEI/BF~IL Beispiel
AÜ/BEI+D Arbeit
AÜ/BEID Arbeit
BDJNK/AÜ/BEI+D Arbeit
BDJNK/AÜ/BEID Arbeit
LÄSD lässt
BDJNK/FI/RUS Virus
BDJNK/FWI/RUS Virus
FI/RUS Virus
FWI/RUS Virus
A+P/RIL April
AP/RIL April
BDJNK/A+P/RIL April
BDJNK/AP/RIL April
BDJNK/MAÜ+S/NAÜ/MEN Maßnahmen
BDJNK/MAÜ+S/NAÜMn Maßnahmen
BDJNK/MAÜS/NAÜMn Maßnahmen
MAÜ+S/NAÜ/MEN Maßnahmen
MAÜ+S/NAÜMn Maßnahmen
MAÜS/NAÜMn Maßnahmen
WEI/DJEÜ/HAIN weiterhin
SHMU/NÄKSD zunächst
GDLAÜ klar
BDJNK/SE+P/DJEM/BEÜ September
BDJNK/SEP/DJEM/BEÜ September
SE+P/DJEM/BEÜ September
SEP/DJEM/BEÜ September
BES/SEÜ besser
BDJNK/SDRAÜ/SE Straße
SDRAÜ/SE Straße
INS/GE/SAMD insgesamt
HAL/DJEN halten
BDJNK/BÄI/EÜN Bayern
BÄI/EÜN Bayern
SHMU/SAM/MEN zusammen
SHMU/SAMn zusammen
SHMU/DEM zudem
BDJNK/NO/FEM/BEÜ November
BDJNK/NO/FWEM/BEÜ November
NO/FEM/BEÜ November
NO/FWEM/BEÜ November
BDJNK/BHJE/MA Thema
BDJNK/DJE/MA Thema
BHJE/MA Thema
DJE/MA Thema
MEÜ/RE/RE mehrere
BDJNK/DJ~IM Team
DJ~IM Team
WOL/DJE wollte
NA/DJ~Ü/LIKʃ natürlich
SDAÜK stark
BDRO pro
SEKs sechs
DJUN tun
WEI/DJE/REN weiteren
WEI/DJREN weiteren
WEI/DJn weiteren
~I/NEN ihnen
~INn ihnen
GDOM/MEN/DEN kommenden
GDOMn/DN kommenden
GI+N ging
BDJNK/OK/DJO/BEÜ Oktober
OK/DJO/BEÜ Oktober
BDJNK/FRAU/EN Frauen
BDJNK/FRAUn Frauen
FRAU/EN Frauen
FRAUn Frauen
NI nie
N~I nie
UN/SE/RE unsere
UNSs/RE unsere
BDJNK/MIL/LI/AÜ/DEN Milliarden
BDJNK/MIL/LI/AÜ/DN Milliarden
MIL/LI/AÜ/DEN Milliarden
MIL/LI/AÜ/DN Milliarden
SHMU/LE+SD zuletzt
BE/GDOM/MEN bekommen
BE/GDOMn bekommen
GDAUM kaum
SWEÜ schwer
DAÜF darf
EÜ/GDLÄÜ/DJE erklärte
GE/NAU genau
GNAU genau
BDJNK/GDRI/SE Krise
BDJNK/GDRISs Krise
GDRI/SE Krise
GDRISs Krise
EÜ/HAL/DJEN erhalten
EÜ/HAL/DJN erhalten
OFD oft
BDJNK/EIN/SA+S Einsatz
EIN/SA+S Einsatz
BDJNK/BFI/LEÜ Spieler
BDJNK/BF~I/LEÜ Spieler
BFI/LEÜ Spieler
BF~I/LEÜ Spieler
BDJNK/FA/MI/L~I Familie
FA/MI/L~I Familie
FA/MLI Familie
AK/DJU/EL aktuell
AK/DJU/EL/L aktuell
BDJNK/DE/SHMEM/BEÜ Dezember
DE/SHMEM/BEÜ Dezember
GE/GE/BEN gegeben
GE/GPn gegeben
GE/GEN/BEÜ gegenüber
GKn/BEÜ gegenüber
DES/HALP deshalb
W~IK/LIKʃ wirklich
EI/GE+ND/LIKʃ eigentlich
EI/GEND/LIKʃ eigentlich
EI/GND/LIKʃ eigentlich
BDJNK/BDRÄI/NEÜ Trainer
BDRÄI/NEÜ Trainer
NÜM/+KD/U CDU
NÜM/KD/U CDU
BDJNK/GDUN/DEN Kunden
BDJNK/GDUN/DN Kunden
GDUN/DEN Kunden
GDUN/DN Kunden
GDNA+P knapp
GDNAP knapp
BDJNK/GRUND Grund
GRUND Grund
BDJNK/SHMU/GDUNFD Zukunft
SHMU/GDUNFD Zukunft
BDJNK/~O+D Ort
BDJNK/~OD Ort
~O+D Ort
~OD Ort
SHMU/FW~O zuvor
SHMU/F~O zuvor
BDJNK/BLIK Blick
BLIK Blick
SI/SHJEÜ sicher
SI/SJEÜ sicher
MEIS/DJEN meisten
MEIS/DJN meisten
BDJNK/SHMIL Ziel
BDJNK/SHM~IL Ziel
SHMIL Ziel
SHM~IL Ziel
AU/GUSD August
BDJNK/AU/GUSD August
JE/DEÜ jeder
SHMU/FOL/GE zufolge
BDJNK/LA/GE Lage
LA/GE Lage
FIN/DE+D findet
FIN/DED findet
MÜS/SE müsse
MÜS/Ss müsse
GDON/DJEN konnten
GDON/DJN konnten
BDJNK/BDRÄ/SI/DE+ND Präsident
BDJNK/BDRÄ/SI/DEND Präsident
BDJNK/BDRÄ/SI/DND Präsident
BDRÄ/SI/DE+ND Präsident
BDRÄ/SI/DEND Präsident
BDRÄ/SI/DND Präsident
GD~U+S kurz
DJEIL/DJE teilte
BDJNK/HAUS Haus
HAUS Haus
BDJNK/JU/LI Juli
JU/LI Juli
BDJNK/MO/NA/DJEN Monaten
BDJNK/MO/NA/DJN Monaten
MO/NA/DJEN Monaten
MO/NA/DJN Monaten
DA/RÜ/BEÜ darüber
BDJNK/BDN/SJEI/DU+N Entscheidung
BDJNK/E+ND/SJEI/DU+N Entscheidung
BDJNK/END/SJEI/DU+N Entscheidung
BDN/SJEI/DU+N Entscheidung
E+ND/SJEI/DU+N Entscheidung
END/SJEI/DU+N Entscheidung
BDJNK/RIKʃ/DJU+N Richtung
RIKʃ/DJU+N Richtung
WIKʃ/DJIK wichtig
BDJNK/EU/RO/BDA Europa
EU/RO/BDA Europa
BE/RIKʃ/DJE+D berichtet
BE/RIKʃ/DJED berichtet
BRIKʃ/DJED berichtet
BDJNK/MI+D/DJE Mitte
BDJNK/MID/DJE Mitte
MI+D/DJE Mitte
MID/DJE Mitte
GU/DJE gute
BIS/LA+N bislang
SA/GEN sagen
SAÜKn sagen
AUF/GRUND aufgrund
AK/DJU/EL/LEN aktuellen
AK/DJU/ELn aktuellen
BDJNK/ÄOS/DJEÜ/REIKʃ Österreich
ÄOS/DJEÜ/REIKʃ Österreich
AL/LEÜ aller
BDJNK/JA/NU/AÜ Januar
JA/NU/AÜ Januar
FESD fest
SHMEI/GEN zeigen
SHMEIKn zeigen
E/HEÜ eher
GLEIKʃ gleich
BDJNK/SOM/MEÜ Sommer
SOM/MEÜ Sommer
BDJNK/EL/DJEÜN Eltern
EL/DJEÜN Eltern
DJRO+S trotz
WEI+D weit
DE/REN deren
DREN deren
Dn deren
NEÜ/MEN nehmen
NEÜMn nehmen
AU/DJO Auto
GE/HÄO+D gehört
GE/HÄOD gehört
GHÄOD gehört
BDJNK/BE/REIKʃ Bereich
BDJNK/BREIKʃ Bereich
BE/REIKʃ Bereich
BREIKʃ Bereich
HAIN/DJEÜ hinter
NÜM/S+PD SPD
NÜM/SPD SPD
BDJNK/SHJI/NA China
BDJNK/SJI/NA China
SHJI/NA China
SJI/NA China
MÄOKʃ/DJE möchte
SI/BEN sieben
SIPn sieben
S~I/BEN sieben
WEL/SHJE welche
HAIN hin
D~ÜF/DJE dürfte
NEU neu
BDJNK/MI/NU/DJEN Minuten
BDJNK/MNU/DJEN Minuten
BDJNK/MNU/DJN Minuten
MI/NU/DJEN Minuten
MNU/DJEN Minuten
MNU/DJN Minuten
HÄLD hält
BDJNK/JAÜ/RES Jahres
JAÜ/RES Jahres
BRI+Nn bringen
BRIN/GEN bringen
DEU+D/SJE deutsche
DEUD/SJE deutsche
BDJNK/MÜN/SHJEN München
BDJNK/MÜN/SJEN München
BDJNK/MÜN/SJN München
MÜN/SHJEN München
MÜN/SJEN München
MÜN/SJN München
SDELD stellt
AN/DEÜS anders
BDJNK/BDO/LI/DJIK Politik
BDO/LI/DJIK Politik
FEÜ/LE+SD verletzt
FLE+SD verletzt
BDJNK/BDN/WIK/LU+N Entwicklung
BDJNK/E+ND/WIK/LU+N Entwicklung
BDJNK/END/WIK/LU+N Entwicklung
BDN/WIK/LU+N Entwicklung
E+ND/WIK/LU+N Entwicklung
END/WIK/LU+N Entwicklung
BDJNK/FANS Fans
FANS Fans
DA/RAN daran
GE/BRAKʃD gebracht
NE/BEN neben
NEPn neben
DA/MALS damals
EÜ/NEU+D erneut
EÜ/NEUD erneut
BDEÜ per
GE/GDOM/MEN gekommen
GE/GDOMn gekommen
BDJNK/WO/SHJEN/EN/DE Wochenende
BDJNK/WO/SJEN/EN/DE Wochenende
BDJNK/WOKʃn/N/DE Wochenende
WO/SHJEN/EN/DE Wochenende
WO/SJEN/EN/DE Wochenende
WOKʃn/N/DE Wochenende
BDJNK/SEI/DJE Seite
SEI/DJE Seite
BFI/LEN spielen
BFILn spielen
BF~I/LEN spielen
WIS/SEN wissen
WISn wissen
GE/MEIN/SAM gemeinsam
GMEIN/SAM gemeinsam
LI/GEN liegen
L~I/GEN liegen
DA/HEÜ daher
BDO/SI/DJF positiv
BDJNK/GE/SJIKʃ/DJE Geschichte
GE/SJIKʃ/DJE Geschichte
BDJNK/BEÜ/LI/NEÜ Berliner
BEÜ/LI/NEÜ Berliner
BDJNK/BDROP/LEM Problem
BDROP/LEM Problem
WEI+S weiß
WEIS weiß
GE/W~O/DEN geworden
GW~O/DEN geworden
GW~O/DN geworden
SDEL/LEN stellen
SDELn stellen
DES/SEN dessen
DESn dessen
BDJNK/SHMEI/DJEN Zeiten
BDJNK/SHMEI/DJN Zeiten
SHMEI/DJEN Zeiten
SHMEI/DJN Zeiten
RIKʃ/DJIK richtig
BDJNK/FEP/RU/AÜ Februar
FEP/RU/AÜ Februar
GE/BE gebe
UN/SE/REÜ unserer
UNSs/REÜ unserer
AÜ/BEI/DJEN arbeiten
AÜ/BEI/DJN arbeiten
GE/SJLOS/SEN geschlossen
GE/SLOS/SEN geschlossen
GE/SLOSn geschlossen
BDJNK/SWEI+S Schweiz
SWEI+S Schweiz
JE/DEN jeden
JE/DN jeden
BDJNK/MI/SHJA/EL Michael
BDJNK/MI/SJA/EL Michael
MI/SHJA/EL Michael
MI/SJA/EL Michael
OF/FEN/BAÜ offenbar
OFn/BAÜ offenbar
BDJNK/GDWA/RAN/DJÄ/NE Quarantäne
GDWA/RAN/DJÄ/NE Quarantäne
BDJNK/NAKʃD Nacht
NAKʃD Nacht
BDJNK/W~ID/SJAFD Wirtschaft
W~ID/SJAFD Wirtschaft
JE je
SO/F~O+D sofort
SO/F~OD sofort
BDJNK/LEU/DJE Leute
LEU/DJE Leute
BDJNK/BILD Bild
BILD Bild
BDJNK/ME/DJEÜ Meter
ME/DJEÜ Meter
EI/NI/GEN einigen
EI/NIKn einigen
BDJNK/HÄO/HE Höhe
HÄO/HE Höhe
DI/REKD direkt
BDA/DJI/EN/DJEN Patienten
BDJNK/BDA/DJEN/DJEN Patienten
BDJNK/BDA/DJI/EN/DJEN Patienten
BDJNK/BDA/DJN/DJN Patienten
DU du
BDJNK/UN/DJEÜ/SDÜ+D/SHMU+N Unterstützung
BDJNK/UN/DJEÜ/SDÜD/SHMU+N Unterstützung
UN/DJEÜ/SDÜ+D/SHMU+N Unterstützung
UN/DJEÜ/SDÜD/SHMU+N Unterstützung
SHMU/MIN/DESD zumindest
BDJNK/FEÜ/FÜ/GU+N Verfügung
BDJNK/FWEÜ/FÜ/GU+N Verfügung
FEÜ/FÜ/GU+N Verfügung
FWEÜ/FÜ/GU+N Verfügung
SHWEI/DJE zweite
AÜ+D Art
AÜD Art
BDJNK/AÜ+D Art
BDJNK/AÜD Art
BDJNK/MA+N/SJAFD Mannschaft
MA+N/SJAFD Mannschaft
BDJNK/DA/DJEN Daten
BDJNK/DA/DJN Daten
DA/DJEN Daten
DA/DJN Daten
BDJNK/RE/GI/ON Region
RE/GI/ON Region
BDJNK/GDRI/DJIK Kritik
GDRI/DJIK Kritik
AKʃD acht
BDJNK/GDREIS Kreis
GDREIS Kreis
NÜM/EU EU
MIN/DES/DJENS mindestens
MIN/DES/DJNS mindestens
EÜ/WAÜ/DJE+D erwartet
EÜ/WAÜ/DJED erwartet
GDLEI/NEN kleinen
GDLEINn kleinen
BDJNK/MO/NA/DJE Monate
MO/NA/DJE Monate
BDJNK/LÄN/DEÜ Länder
LÄN/DEÜ Länder
FIL/LEIKʃD vielleicht
BDJNK/WAÜL Wahl
WAÜL Wahl
BEÜ/HAUPD überhaupt
Ü/BEÜ/HAU+PD überhaupt
Ü/BEÜ/HAUPD überhaupt
BDJNK/BE/FWÄOL/GDE/RU+N Bevölkerung
BDJNK/BE/FÄOL/GDE/RU+N Bevölkerung
BDJNK/BFÄOL/GDE/RU+N Bevölkerung
BE/FWÄOL/GDE/RU+N Bevölkerung
BE/FÄOL/GDE/RU+N Bevölkerung
BFÄOL/GDE/RU+N Bevölkerung
IN/SHWI/SJEN inzwischen
IN/SHWIʃn inzwischen
BDJNK/MÄN/NEÜ Männer
MÄN/NEÜ Männer
GE/BDLA+ND geplant
GE/BDLAND geplant
DA/GE/GEN dagegen
DA/GKn dagegen
BDJNK/WIN Wien
BDJNK/W~IN Wien
WIN Wien
W~IN Wien
SOL/SHJE solche
SOL/SJE solche
BDJNK/B~Ü/GEÜ/MEIS/DJEÜ Bürgermeister
B~Ü/GEÜ/MEIS/DJEÜ Bürgermeister
HOKʃ hoch
LEIKʃD leicht
SDAND stand
BDJNK/IN/F~O/MA/DJI/O/NEN Informationen
BDJNK/IN/F~O/MA/DJO/NEN Informationen
BDJNK/IN/F~O/MA/DJONn Informationen
IN/F~O/MA/DJI/O/NEN Informationen
IN/F~O/MA/DJO/NEN Informationen
IN/F~O/MA/DJONn Informationen
LA+N lang
BDJNK/B~Ü/GEÜ Bürger
B~Ü/GEÜ Bürger
BDA/AÜ paar
BDAÜ paar
BDJNK/HAIL/FE Hilfe
HAIL/FE Hilfe
GDJES/DJED getestet
GE/DJES/DJE+D getestet
GE/DJES/DJED getestet
BDJNK/BHJO/MAS Thomas
BDJNK/DJO/MAS Thomas
BHJO/MAS Thomas
DJO/MAS Thomas
HEL/FEN helfen
HELFn helfen
MUS/DJEN mussten
MUS/DJN mussten
MUSs/DJEN mussten
H~I+S hieß
H~IS hieß
BDJNK/BDRO/BLE/ME Probleme
BDRO/BLE/ME Probleme
BFRIKʃD spricht
WE wer
BDJNK/BUN/DES/RE/GI/RU+N Bundesregierung
BDJNK/BUN/DES/RE/G~I/RU+N Bundesregierung
BUN/DES/RE/GI/RU+N Bundesregierung
BUN/DES/RE/G~I/RU+N Bundesregierung
GEL/DJEN gelten
F~Ü+D führt
F~ÜD führt
IN/NEÜ/HALP innerhalb
BDJNK/SJÜ/LEÜ Schüler
SJÜ/LEÜ Schüler
BDJNK/FEIN Verein
BDJNK/FEÜ/EIN Verein
BDJNK/FWEÜ/EIN Verein
FEÜ/EIN Verein
FWEÜ/EIN Verein
MEI/NE meine
BDJNK/LÄN/DEÜN Ländern
LÄN/DEÜN Ländern
UN/DJEÜ/WEÜKS unterwegs
BEI/BFILS/WEI/SE beispielsweise
BEI/BFILS/WEISs beispielsweise
BEI/BF~ILS/WEI/SE beispielsweise
SE+SD setzt
BDJNK/GDRAN/GDEN/HAUS Krankenhaus
BDJNK/GDRAN/Kn/HAUS Krankenhaus
GDRAN/GDEN/HAUS Krankenhaus
GDRAN/Kn/HAUS Krankenhaus
BEI/DE beide
SEI/NES seines
BDJNK/EÜ/GEP/NIS Ergebnis
EÜ/GEP/NIS Ergebnis
F~Ü/REN führen
F~Ün führen
SJEI+ND scheint
SJEIND scheint
LÄUFD läuft
BDJNK/FEU/EÜ/WEÜ Feuerwehr
FEU/EÜ/WEÜ Feuerwehr
BES/DJEN besten
BES/DJN besten
BDJNK/BE/HÄO/DEN Behörden
BDJNK/BHÄO/DEN Behörden
BDJNK/BHÄO/DN Behörden
BE/HÄO/DEN Behörden
BHÄO/DEN Behörden
BHÄO/DN Behörden
GDLEI/NE kleine
BDJNK/SWEI/SHMEÜ Schweizer
SWEI/SHMEÜ Schweizer
GAN/SHME ganze
EI/GE/NE eigene
EI/GNE eigene
BDJNK/ME/DEN Medien
BDJNK/ME/DI/EN Medien
BDJNK/ME/DN Medien
ME/DEN Medien
ME/DI/EN Medien
ME/DN Medien
BDJNK/GÄS/DJE Gäste
GÄS/DJE Gäste
BDJNK/BDRO/JEKD Projekt
BDRO/JEKD Projekt
BDJNK/DOL/LAÜ Dollar
DOL/LAÜ Dollar
E/BEN eben
EPn eben
BI/DJED bietet
B~I/DJE+D bietet
SDA+D/FIN/DEN stattfinden
SDAD/FIN/DEN stattfinden
SDAD/FIN/DN stattfinden
OF/FEN offen
OFn offen
GE/SDELD gestellt
GR~O+S groß
GR~OS groß
BDJNK/MÄOK/LIKʃ/GDEID Möglichkeit
MÄOK/LIKʃ/GDEID Möglichkeit
BDAÜ/DJEI Partei
BDJNK/BDAÜ/DJEI Partei
SONSD sonst
MI+D/LEÜ/WEI/LE mittlerweile
MID/LEÜ/WEI/LE mittlerweile
NIMD nimmt
BDJNK/GDAMPF Kampf
GDAMPF Kampf
BDJNK/GRU+P/BDE Gruppe
