DEÜ der
DA/SHMU dazu
BEI/DN beiden
~IN ihn
WEI/DJRE weitere
DA/F~Ü dafür
HEU/DJE heute
OP ob
MA+N Mann
LASn lassen
AL/LES alles
GDEIN kein
JE/DOKʃ jedoch
LAU+D laut
D~OD dort
AL/LEÜ/DI+NS allerdings
WO/SHJE Woche
FW~I vier
WOKʃn Wochen
DEÜ/SHMEI+D derzeit
EIN/MAL einmal
MIKʃ mich
SOL/DJE sollte
GPn geben
MON/DJAÜK Montag
~IM ihm
AL/SO also
LAND Land
WÄ/RE wäre
GDAM kam
SDE/HN stehen
DA/FWON davon
GDON/DJE konnte
W~Ü/DE würde
FREI/DJAÜK Freitag
GDIN/DEÜ Kinder
MÄOK/LIKʃ möglich
BDEÜ/SONn Personen
GHN gehen
EÜS/DJE erste
BEÜ/LIN Berlin
MI+D/WOKʃ Mittwoch
Ss/HN sehen
D~I/SES dieses
DJAÜK Tag
D~I/SEN diesen
LE+S/DJN letzten
DEU+D/LIKʃ deutlich
MAL mal
FRAU Frau
WO wo
JA ja
GWESn gewesen
SO/GAÜ sogar
D~INS/DJAÜK Dienstag
MAKʃD macht
W~Ü/DN würden
NIKʃs nichts
M~I mir
DJRUMP Trump
HÄD/DJN hätten
FÜNF fünf
SHMU/RÜK zurück
~I/REM ihrem
S~I+D sieht
DON/NEÜS/DJAÜK Donnerstag
WE/NI/GEÜ weniger
DEN denn
BLEIPn bleiben
SWAÜ zwar
EIN/FAKʃ einfach
DA/RAUF darauf
US/A USA
GILD gilt
WÄÜ/REND während
GE/RA/DE gerade
MÄÜ+S März
W~OL wohl
SON/DJAÜK Sonntag
BDJNN/WELD Welt
GR~O/SE große
LAN/GE lange
GDMO/RO/NA Corona
SAMS/DJAÜK Samstag
DNn denen
AN/DREM anderem
BDLA+S Platz
GR~O+Sn großen
SHMEIKD zeigt
GMAKʃD gemacht
BIS/HEÜ bisher
FW~I/LEN vielen
BLEI+PD bleibt
NÜM/F+K FC
EI/GNn eigenen
HÄ+D/DJE hätte
RE/G~I/RU+N Regierung
GAÜ gar
MAI Mai
SHMEÜN zehn
EPn/FALS ebenfalls
BE/GDAND bekannt
HEISD heißt
GDÄON/DJEN könnten
MUSs/DJE musste
SAI/SON Saison
EI/NI/GE einige
BDJNN/GELD Geld
D~ÜFn dürfen
BE/SON/DEÜS besonders
ALn allen
SNEL schnell
GDEINn keinen
BFÄ/DJEÜ später
NÄKS/DJN nächsten
BIN bin
FIN/DN finden
SDA+D statt
WE/NIK wenig
AN/FA+N Anfang
MI+D/AÜ/BEI/DJEÜ Mitarbeiter
SI/DJU/A/DJON Situation
D~IS dies
SWEI/DJN zweiten
GDÄON/NE könne
BDAN/DMI Pandemie
SOL/DJN sollten
EÜ/GDLÄÜ+D erklärt
JU/NI Juni
DEUD/ʃn deutschen
BEI/BF~IL Beispiel
AÜ/BEI+D Arbeit
LÄSD lässt
FWI/RUS Virus
A+P/RIL April
MAÜ+S/NAÜMn Maßnahmen
WEI/DJEÜ/HAIN weiterhin
SHMU/NÄKSD zunächst
GDLAÜ klar
SE+P/DJEM/BEÜ September
BES/SEÜ besser
SDRAÜ/SE Straße
INS/GE/SAMD insgesamt
HAL/DJEN halten
BÄI/EÜN Bayern
SHMU/SAMn zusammen
SHMU/DEM zudem
NO/FWEM/BEÜ November
BHJE/MA Thema
MEÜ/RE/RE mehrere
DJ~IM Team
WOL/DJE wollte
NA/DJ~Ü/LIKʃ natürlich
SDAÜK stark
BDRO pro
SEKS sechs
DJUN tun
WEI/DJn weiteren
~INn ihnen
GDOMn/DN kommenden
GI+N ging
OK/DJO/BEÜ Oktober
FRAUn Frauen
N~I nie
UNSs/RE unsere
MIL/LI/AÜ/DN Milliarden
SHMU/LE+SD zuletzt
BE/GDOMn bekommen
GDAUM kaum
SWEÜ schwer
DAÜF darf
EÜ/GDLÄÜ/DJE erklärte
GNAU genau
GDRISs Krise
EÜ/HAL/DJN erhalten
OFD oft
EIN/SA+S Einsatz
BF~I/LEÜ Spieler
BDJNN/FA/MLI Familie
AK/DJU/EL aktuell
DE/SHMEM/BEÜ Dezember
GE/GPn gegeben
GKn/BEÜ gegenüber
DES/HALP deshalb
W~IK/LIKʃ wirklich
EI/GE+ND/LIKʃ eigentlich
BDRÄI/NEÜ Trainer
NÜM/+KD/U CDU
GDUN/DN Kunden
GDNA+P knapp
GRUND Grund
SHMU/GDUNFD Zukunft
~O+D Ort
SHMU/FW~O zuvor
BLIK Blick
SI/SHJEÜ sicher
MEIS/DJN meisten
SHM~IL Ziel
AU/GUSD August
JE/DEÜ jeder
SHMU/FOL/GE zufolge
LA/GE Lage
FIN/DE+D findet
MÜS/Ss müsse
GDON/DJN konnten
BDRÄ/SI/DE+ND Präsident
GD~U+S kurz
DJEIL/DJE teilte
HAUS Haus
JU/LI Juli
MO/NA/DJN Monaten
DA/RÜ/BEÜ darüber
BDN/SJEI/DU+N Entscheidung
RIKʃ/DJU+N Richtung
WIKʃ/DJIK wichtig
EU/RO/BDA Europa
BRIKʃ/DJED berichtet
MI+D/DJE Mitte
GU/DJE gute
BIS/LA+N bislang
SAÜKn sagen
AUF/GRUND aufgrund
AK/DJU/ELn aktuellen
ÄOS/DJEÜ/REIKʃ Österreich
AL/LEÜ aller
JA/NU/AÜ Januar
FESD fest
SHMEIKn zeigen
E/HEÜ eher
GLEIKʃ gleich
SOM/MEÜ Sommer
EL/DJEÜN Eltern
DJRO+S trotz
WEI+D weit
Dn deren
NEÜMn nehmen
AU/DJO Auto
GHÄOD gehört
BREIKʃ Bereich
HAIN/DJEÜ hinter
NÜM/S+PD SPD
SHJI/NA China
MÄOKʃ/DJE möchte
SIPn sieben
WEL/SHJE welche
HAIN hin
D~ÜF/DJE dürfte
NEU neu
MNU/DJN Minuten
HÄLD hält
JAÜ/RES Jahres
BRI+Nn bringen
DEU+D/SJE deutsche
MÜN/SJN München
SDELD stellt
AN/DEÜS anders
BDO/LI/DJIK Politik
FLE+SD verletzt
BDN/WIK/LU+N Entwicklung
FANS Fans
DA/RAN daran
GE/BRAKʃD gebracht
NEPn neben
DA/MALS damals
EÜ/NEU+D erneut
BDEÜ per
GE/GDOMn gekommen
WOKʃn/N/DE Wochenende
SEI/DJE Seite
BFILn spielen
WISn wissen
GMEIN/SAM gemeinsam
L~I/GEN liegen
DA/HEÜ daher
BDO/SI/DJF positiv
GE/SJIKʃ/DJE Geschichte
BEÜ/LI/NEÜ Berliner
BDROP/LEM Problem
WEI+S weiß
GW~O/DN geworden
SDELn stellen
DESn dessen
SHMEI/DJN Zeiten
RIKʃ/DJIK richtig
FEP/RU/AÜ Februar
GE/BE gebe
UNSs/REÜ unserer
AÜ/BEI/DJN arbeiten
GE/SLOSn geschlossen
SWEI+S Schweiz
JE/DN jeden
MI/SHJA/EL Michael
OFn/BAÜ offenbar
GDWA/RAN/DJÄ/NE Quarantäne
NAKʃD Nacht
W~ID/SJAFD Wirtschaft
JE je
SO/F~O+D sofort
LEU/DJE Leute
BILD Bild
ME/DJEÜ Meter
EI/NIKn einigen
HÄO/HE Höhe
DI/REKD direkt
BDJNN/BDA/DJN/DJN Patienten
DU du
UN/DJEÜ/SDÜ+D/SHMU+N Unterstützung
SHMU/MIN/DESD zumindest
FWEÜ/FÜ/GU+N Verfügung
SWEI/DJE zweite
AÜ+D Art
MA+N/SJAFD Mannschaft
DA/DJN Daten
RE/GI/ON Region
GDRI/DJIK Kritik
AKʃD acht
GDREIS Kreis
NÜM/EU EU
MIN/DES/DJNS mindestens
EÜ/WAÜ/DJE+D erwartet
GDLEINn kleinen
MO/NA/DJE Monate
LÄN/DEÜ Länder
FIL/LEIKʃD vielleicht
WAÜL Wahl
BEÜ/HAUPD überhaupt
BFÄOL/GDE/RU+N Bevölkerung
IN/SWIʃn inzwischen
MÄN/NEÜ Männer
GE/BDLA+ND geplant
DA/GKn dagegen
W~IN Wien
SOL/SHJE solche
B~Ü/GEÜ/MEIS/DJEÜ Bürgermeister
HOKʃ hoch
LEIKʃD leicht
SDAND stand
IN/F~O/MA/DJONn Informationen
LA+N lang
B~Ü/GEÜ Bürger
BDAÜ paar
HAIL/FE Hilfe
GDJES/DJED getestet
BHJO/MAS Thomas
HELFn helfen
MUS/DJN mussten
H~I+S hieß
BDRO/BLE/ME Probleme
BFRIKʃD spricht
WE wer
BUN/DES/RE/G~I/RU+N Bundesregierung
GEL/DJEN gelten
F~Ü+D führt
IN/NEÜ/HALP innerhalb
SJÜ/LEÜ Schüler
BDJNN/FEIN Verein
MEI/NE meine
LÄN/DEÜN Ländern
UN/DJEÜ/WEÜKS unterwegs
BEI/BFILS/WEISs beispielsweise
SE+SD setzt
GDRAN/Kn/HAUS Krankenhaus
BEI/DE beide
SEI/NES seines
EÜ/GEP/NIS Ergebnis
F~Ün führen
SJEI+ND scheint
LÄUFD läuft
FEU/EÜ/WEÜ Feuerwehr
BES/DJN besten
BHÄO/DN Behörden
GDLEI/NE kleine
SWEI/SHMEÜ Schweizer
GAN/SHME ganze
EI/GNE eigene
ME/DN Medien
GÄS/DJE Gäste
BDRO/JEKD Projekt
DOL/LAÜ Dollar
EPn eben
B~I/DJE+D bietet
SDAD/FIN/DN stattfinden
OFn offen
GE/SDELD gestellt
GR~O+S groß
MÄOK/LIKʃ/GDEID Möglichkeit
BDAÜ/DJEI Partei
SONSD sonst
MI+D/LEÜ/WEI/LE mittlerweile
NIMD nimmt
GDAMPF Kampf
GRU+P/BDE Gruppe
ÄOF/FND/LIKʃn öffentlichen
SED/+Sn setzen
HAIN/AUS hinaus
GMEIN/DE Gemeinde
DJA+D/SÄKʃ/LIKʃ tatsächlich
SDU/D~I Studie
GE/SEL/SJAFD Gesellschaft
MU+D/DJEÜ Mutter
MAKʃ/DJE machte
JUN/GE junge
JE/WEILS jeweils
NUD/+Sn nutzen
BRAUKʃD braucht
SHMEI/DJU+N Zeitung
BFILD spielt
HAN/DELD handelt
BDJON/DJE betonte
AL/DJE alte
GFUN/DN gefunden
GDÜNF/DJIK künftig
BDJNN/SIKʃD Sicht
BDJROFn betroffen
BDE/DJEÜ Peter
AL/LEIN allein
WAS/SEÜ Wasser
EÜSD/MALS erstmals
NAMn Namen
BRI+ND bringt
MEÜ/GDEL Merkel
WELD/WEID weltweit
LAÜK lag
DO/NALD Donald
NAKʃ/DEM nachdem
LAND/GDREIS Landkreis
NÄKs/DJE nächste
GEÜ/NE gerne
BDJNN/MAÜKD Markt
SI/SHJEÜ/HEI+D Sicherheit
NÜM/D/BDA dpa
FLASn verlassen
SJANSs Chance
SIK Sieg
MÜS/DJN müssten
BUND Bund
SL~I+S/LIKʃ schließlich
MI+D/DJEIL/DJE mitteilte
AL/DJN alten
HAND Hand
EÜ/REIKʃD erreicht
DA/RUM darum
GU/DJN guten
RAUM Raum
GE/SAÜKD gesagt
DJÄ/DJEÜ Täter
FLO/REN verloren
BDO/LI/SHMIS/DJN Polizisten
SJAFn schaffen
FRAN/Kn Franken
LEPn leben
NEF New
EPn/SO ebenso
EÜ/FOLK Erfolg
NEU/ES neues
GDAMn kamen
A/BND Abend
GDON/DJAKD Kontakt
GDIN/DEÜN Kindern
DJRAÜKn tragen
LE+S/DJE letzte
GDOM/BDLE+D komplett
GDIND Kind
DA/NAKʃ danach
BDEÜ/SON Person
SDAÜD Start
MEÜ/REn mehreren
EKS/BDEÜ/DJN Experten
SJRIS/DJAN Christian
IN/DJEÜ/FW~IF Interview
GN~UK genug
BFRE/SHJEÜ Sprecher
SRIP schrieb
U/NI/ON Union
FAÜ/REÜ Fahrer
HAIN/GKn hingegen
BDJNN/BA+N Bank
DEM/NAKʃ demnach
GE/BFRÄKʃ Gespräch
DJREFn treffen
HO/HN hohen
WA/RUM warum
BDN/SJI/DN entschieden
FEÜ/SUKʃD versucht
LAN/DES Landes
SDEL/DJE stellte
BDEU/DJED bedeutet
I/DJA/LIn Italien
WOL/LE wolle
BRIKʃ/DJE/DJE berichtete
NÄM/LIKʃ nämlich
LI/GA Liga
LÄN/GEÜ länger
BRAUKʃn brauchen
DJRO+S/DEM trotzdem
ND/LIKʃ endlich
SREI+PD schreibt
BE/SU/SHJEÜ Besucher
FÄLD fällt
JE/DE jede
SHMU/SAMn/HA+N Zusammenhang
FWÄOL/LIK völlig
DN/NOKʃ dennoch
F~OM Form
FWI/DEO Video
GSs/HN gesehen
GFAÜ Gefahr
AN/GE/BO+D Angebot
DA/RUN/DJEÜ darunter
WE/NI/GE wenige
F~O/DEÜ+D fordert
OPn oben
UN/SEÜ unser
HÄLF/DJE Hälfte
SHMEIK/DJE zeigte
BE/REI+D bereit
BL~IP blieb
BAM/DJN Beamten
NEUN neun
W~O/NU+N Wohnung
GHE gehe
GRIKʃD Gericht
FWA/DJEÜ Vater
GNOMn genommen
DJI/DJEL Titel
L~I+S ließ
GHÄOn gehören
BE/SDÄ/DJIKD bestätigt
IN/DJEÜ/NE+D Internet
AU/SEÜ/DEM außerdem
BFRAKʃ sprach
SHMU/SJAU/EÜ Zuschauer
UN/FAL Unfall
GDO+PF Kopf
FAÜn fahren
FI+ Film
NEU/EÜ neuer
BE/GDOMD bekommt
~I/RES ihres
GDÄOLN Köln
MAÜ/GDUS Markus
EÜ/REIKʃn erreichen
BDJNN/SDAÜ/DJN Staaten
MO/ME+ND Moment
FRÄ+N/F~UD Frankfurt
SHMEID/BDU+ND Zeitpunkt
GMEL/DED gemeldet
BAL Ball
EÜ/SHMÄÜLD erzählt
HEÜPSD Herbst
AK/DJU/EL/LE aktuelle
LI+NS links
BDJOND betont
JE/DEM jedem
SO/W~OL sowohl
AU/DJOS Autos
MO/NA+D Monat
BF~O bevor
SDAÜs/AN/WALD/SJAFD Staatsanwaltschaft
DJOD Tod
FRÄ+N/REIKʃ Frankreich
GRÄO+S/DJN größten
GDOL/LEÜKn Kollegen
FWEÜ/HAIN/DEÜN verhindern
BFREKʃn sprechen
EÜ/MID/LU+Nn Ermittlungen
BDJNN/BAD Bad
GAN/+Sn ganzen
I/DEs Idee
UN/DJEÜ/SDÜD/+Sn unterstützen
AN/GE/SIKʃs angesichts
GE/SUND/HEI+D Gesundheit
LÄO/SU+N Lösung
DJ~O Tor
DJESs Tests
BDN/WI/GDELD entwickelt
BE/SDEÜ+D besteht
AUS/W~I/GDU+Nn Auswirkungen
WE/NIKn wenigen
FW~O/BEI vorbei
GE/SHMEIKD gezeigt
SJU+S Schutz
GDJROFn getroffen
NEU/IN/FEK/DJONn Neuinfektionen
DRID/DJN dritten
AN/GE/GDÜN/DIKD angekündigt
RUSs/LAND Russland
DJRIFD trifft
JU+Nn jungen
LAUFn laufen
N~I/MAND niemand
L~IK League
BF~O+D Sport
BI/DJN bieten
FÄOF/FEND/LIKʃD veröffentlicht
UN/DJEÜ/SDÜ+SD unterstützt
BDRO/GRAM Programm
MI+D/GL~I/DEÜ Mitglieder
FAN/SDAL/DJU+Nn Veranstaltungen
HO/HE hohe
FAND fand
IN/FEK/DJONn Infektionen
SHMI/HN ziehen
S~OKn sorgen
AUF/GNOMn aufgenommen
FEÜ/SJI/DNn verschiedenen
F~I/MA Firma
SWÄOLF zwölf
FREI frei
IN/FI/SHM~I+D infiziert
LE/DIK/LIKʃ lediglich
SOL/LE solle
BDA+/S~I+D passiert
FA/MLIn Familien
ÄOF/Nn öffnen
SHMAÜL/REI/SHJE zahlreiche
UNSs/n unseren
AN/DRE/AS Andreas
GF~ÜD geführt
FRÜ/HEÜ früher
D~U+Kʃ/AUS durchaus
MÄOK/LIKSD möglichst
SWEn schweren
MÜL/LEÜ Müller
SHMU/SAMn/AÜ/BEID Zusammenarbeit
GDON/DJROL/LE Kontrolle
REKʃD recht
MAÜ/DJIN Martin
WOL/DJN wollten
MEIN mein
BDN/SJEI/DN entscheiden
MNIS/DJEÜ/BDRÄ/SI/DEND Ministerpräsident
SDA/A+D Staat
EÜ/LAU+PD erlaubt
WIKʃ/DJI/GE wichtige
AMD Amt
DJ~IMS Teams
GDI/LO/ME/DJEÜ Kilometer
INS/BE/SON/DRE insbesondere
DJOKʃ/DJEÜ Tochter
FOL voll
WÄn wären
EÜ/GEP/NIS/Ss Ergebnisse
ALD alt
DJEIL/WEISs teilweise
NÜM/AFD AfD
GE/BÄU/DE Gebäude
BDJNN/BRIKʃD Bericht
MEI/NEÜ meiner
JE/DES jedes
FW~O/EÜSD vorerst
BO/DN Boden
W~I/NEÜ Wiener
EUKʃ euch
BDO/LI/DJʃn politischen
SDEIKD steigt
GRÄO+S/DJE größte
S~ON Sohn
GR~O/SEÜ großer
SO/SHMALn sozialen
AP/GE/SAÜKD abgesagt
BW~O/NEÜ Bewohner
OP/W~OL obwohl
HAM/B~UK Hamburg
HAIN/DJEÜ/GRUND Hintergrund
GWINn gewinnen
D~O+D/MUND Dortmund
BUN/DES/LI/GA Bundesliga
BE/GIND beginnt
F~U+S/BAL Fußball
SHM~ID zieht
GÄOF/FNED geöffnet
HOF/NU+N Hoffnung
GDWAÜ/DJAL Quartal
AÜ/BEI/DJE+D arbeitet
AK/DJON Aktion
SA/SHJE Sache
SOLKʃn solchen
BDAÜ/DJ~I Partie
GRAD Grad
Ss/RI Serie
DJÄÜK/LIKʃ täglich
WAÜ/DJEN warten
A/LEKS/AN/DEÜ Alexander
BDJNN/MU/SIK Musik
GLÜK Glück
GE/SAM/DJE gesamte
BE/SLOSn beschlossen
MAS/Kn Masken
FR~Ü/JAÜ Frühjahr
BE/SDÄ/DJIK/DJE bestätigte
FALn fallen
BIS/SJN bisschen
SDEIKn steigen
GNU+SD genutzt
EIN/SHMI/GE einzige
SEI/DJN Seiten
MEÜ/HEI+D Mehrheit
MAS/GDE Maske
NAÜM nahm
MEI/NU+N Meinung
GE/SD~OPn gestorben
AK/DJ~I Aktie
BIL/DEÜ Bilder
LUFD Luft
SDÜK Stück
NÜM/N/RF NRW
SDU+D/GAÜ+D Stuttgart
FREUn freuen
EIN/SRÄN/GDU+Nn Einschränkungen
BDJNN/GWALD Gewalt
DA/D~U+Kʃ dadurch
EU/RO/BDÄIʃn europäischen
AN/DREÜ anderer
F~Ü/RU+N Führung
E/HE/MA/LI/GE ehemalige
BFIN/DED befindet
SO/MI+D somit
GLEIKʃ/SHMEI/DJIK gleichzeitig
SO/GNAN/DJN sogenannten
UN/GDLAÜ unklar
MI+D/DJEI/LU+N Mitteilung
BDO/LI/DJI/GDEÜ Politiker
LÄ+NSD längst
BUKʃ Buch
HE/RAUS heraus
AL all
REKʃ/Nn rechnen
EÜ/WAÜ/DJN erwarten
GE/SDIKn gestiegen
SDÄÜ/GDEÜ stärker
BDO/LI/DJI/SJE politische
JE/MAND jemand
~O/NE/HAIN ohnehin
GE/SJÄFs/F~Ü/REÜ Geschäftsführer
BFIN/DN befinden
BE/SHM~IK Bezirk
GE/BFILD gespielt
MEINn meinen
FAND/W~O/DJU+N Verantwortung
REKʃs rechts
DJ~I/RE Tiere
FAÜ/SHMEUK Fahrzeug
HEÜ her
BDLÄO+S/LIKʃ plötzlich
EÜS/DJEÜ erster
D~ÜF/DJN dürften
FEÜ/LEÜ Fehler
BHAN/DELD behandelt
SJÜD/+Sn schützen
SDIK stieg
LEI/DEÜ leider
IN/DJRES/Ss Interesse
DJ~Ü/GDEI Türkei
FEÜ/GA+Nn/HEID Vergangenheit
GE/BDLAN/DJN geplanten
GE/SAM/DJN gesamten
E/HE/MA/LIKn ehemaligen
MEISD meist
BDJNN/AK/DJEN Aktien
GE/BFEÜ+D gesperrt
GEÜK/NEÜ Gegner
GE/SJÄFD Geschäft
MÄOK/LI/SJE mögliche
MÄOK/LIKʃn möglichen
A+P App
W~O+D Wort
DJESD Test
DA/RIN darin
DJEIL/NEÜ/MEÜ Teilnehmer
HAN/DEL Handel
GWONn gewonnen
RO/BEÜ+D Robert
SDAÜ/DJN starten
BDRO/SHMESs Prozess
NA/HE nahe
F~O/DEÜ/DJE forderte
MÄD/SJN Mädchen
ÄN/DEÜN ändern
NÜM/AÜK AG
SDREI+D Streit
ME/DJEÜN Metern
BE/GONn begonnen
F~IL fiel
F~Ü/DJE führte
FEÜ/SHMIKʃ/DJN verzichten
ÄOF/FE+ND/LIKʃ/GDEI+D Öffentlichkeit
SHJEF Chef
Ss/BAS/DJAN Sebastian
BRAKʃ/DJE brachte
A+ND/W~O+D Antwort
D~UKʃ/GF~ÜD durchgeführt
WEI/DJREÜ weiterer
FEÜLD fehlt
BDRÄ/SI/DN/DJN Präsidenten
BDU+ND Punkt
DJEMn Themen
DÜS/SEL/D~OF Düsseldorf
RI/SI/GDO Risiko
GE/SE+SD gesetzt
SUKʃD sucht
SE+S/DJE setzte
AUKn Augen
AUF/GA/BE Aufgabe
GD~I/SHJE Kirche
NÄO/DJIK nötig
EÜ/FOLK/REIKʃ erfolgreich
BDN/FEÜND entfernt
AUS/BREI/DJU+N Ausbreitung
SDAÜKn starken
FEÜ/SUKʃn versuchen
FEÜ/SJI/DNE verschiedene
BREMn Bremen
WEI/NAKʃ/DJN Weihnachten
MÄOK/LIKʃ/GDEI/DJN Möglichkeiten
AK/DJF aktiv
BDRO/DUK/DJON Produktion
BDJNN/J~OK York
EIN/W~O/NEÜ Einwohner
FOLKn folgen
WAN wann
MEI+ND meint
SL~I+Sn schließen
SJS/DJEM System
NOD/WN/DIK notwendig
LEI+P/SHMIK Leipzig
NÜM/ÄO/FW+P ÖVP
AN/DRES anderes
ELF elf
GDRI/DJI/S~I+D kritisiert
WE/DEÜ weder
LEI/DJEÜ Leiter
FU+N/DJO/N~ID funktioniert
JE/DN/FALS jedenfalls
BE/GINn beginnen
SDE/FAN Stefan
GR~O+S/BRI/DJAN/NIn Großbritannien
WIKʃ/DJI/GEÜ wichtiger
F~U fuhr
GE/GA+Nn gegangen
SO/GNAN/DJE sogenannte
AÜ/DJI/GDEL Artikel
BIS/HE/RIKn bisherigen
FW~O/JAÜ Vorjahr
GDÜN/DIK/DJE kündigte
WIN/DJEÜ Winter
SDAÜ/DJE+D startet
HEU/DJKn heutigen
LEIS/DJN leisten
MNU/DJE Minute
ON/LAIN online
GMEIN/DN Gemeinden
GDON/SHME+PD Konzept
FEU/EÜ Feuer
BDJROF/FENn betroffenen
IN/F~O/M~I+D informiert
BDUP/LI/GDUM Publikum
RE/GEL/MÄÜ/SIK regelmäßig
LA+Nn langen
BDA/RIS Paris
HÄU/FIK häufig
HAU+PD/SDAD Hauptstadt
SDRAÜ+Sn Straßen
UNSs/REM unserem
MNʃ Mensch
B~Ü/NE Bühne
GLAU/BE glaube
BDAÜ+D/NEÜ Partner
SUKʃn suchen
SW~I/RIK schwierig
SHJAN/SHJEN Chancen
GES/DJEÜN gestern
WAÜ/SJEIN/LIKʃ wahrscheinlich
BES/DJE beste
BDJNN/GRUPn Gruppen
BE/SJÄF/DJIKD beschäftigt
BEÜ/SHMEUKD überzeugt
BRAND Brand
SAÜ sah
ÄÜ+S/DJE Ärzte
GLEIKʃn gleichen
GE/BDLAN/DJE geplante
EIN/SHMELNn einzelnen
GE/SJÄF/DJE Geschäfte
RÜK/GDEÜ Rückkehr
IN/DJEÜ/NA/DJO/NALn internationalen
AN/DJRAÜK Antrag
GWÄÜLD gewählt
NU+D/SHMEÜ Nutzer
SI+D/SHMU+N Sitzung
GHA+PD gehabt
BE/SUKʃ Besuch
ÄOF/FE+ND/LI/SHJE öffentliche
SHM~IM/LIKʃ ziemlich
FEÜ/SJOPn verschoben
SDEs stets
LI/N~I Linie
FMUD/LIKʃ vermutlich
BFA/NIn Spanien
EIN/GE/SE+SD eingesetzt
WI/DRUM wiederum
~U+/DJEIL Urteil
SLUS Schluss
SJAL/GDE Schalke
SWE/RE schwere
AUS/LAND Ausland
GDEI/NEÜ keiner
GI+Nn gingen
HÄO/HEÜ höher
BO/RUS/SJA Borussia
DJRÄÜKD trägt
NE+S Netz
AN/DJEIL Anteil
BDRO/DUK/DJE Produkte
BDJNN/DA/NI/EL Daniel
BWUSD bewusst
WEI/DJRES weiteres
HAIN/SHMU hinzu
SHMÄÜLD zählt
BDLÄ/NE Pläne
NÜM/SFW SV
DRIN/GND dringend
UN/BDI+ND unbedingt
NÜM/FD/BD FDP
GMEIN/SAMn gemeinsamen
SLEKʃD schlecht
FLED/SHMU+Nn Verletzungen
BDN/SDE/HN entstehen
SJÄON schön
L~I/BEÜ lieber
BDEU/DJU+N Bedeutung
ÜP/RI/GNS übrigens
BRAN/SHJE Branche
GF~ÜL Gefühl
GE/SE+S Gesetz
FRÜ/HN frühen
RIN/NEÜD erinnert
EKS/DJREM extrem
GD~U+S/AÜ/BEID Kurzarbeit
BDRÄI/NI+N Training
UM/GA+N Umgang
FAÜ/SHMEU/GE Fahrzeuge
AN/SHMAÜL Anzahl
GR~O/SES großes
SHMU/GE Zuge
SHMU/SÄ+S/LI/SHJE zusätzliche
DEUʃD/LANs Deutschlands
SID/+Sn sitzen
AN/GLA Angela
HAÜD hart
BDJNN/GE/SIKʃD Gesicht
EÜ/MID/DJELD ermittelt
SHMU/SÄ+S/LIKʃ zusätzlich
GDÄMPFn kämpfen
GFRAÜKD gefragt
SHM~OK zog
RE/GEL Regel
FÄIS/BUK Facebook
FEÜ/GDAUFD verkauft
